"ch"	"sex"	"age"	"morph"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000100"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000011"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000011"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000011"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000011"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000011"	"m"	"Juv"	"I"
"00000011"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000010"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"F"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"S"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"S"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"S"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"S"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"S"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"F"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"00000001"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"S"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01110000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01101000"	"m"	"Juv"	"I"
"01101001"	"m"	"Juv"	"I"
"01111001"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01110001"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000100"	"m"	"Juv"	"I"
"01001000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01111000"	"m"	"Juv"	"I"
"00100010"	"m"	"Juv"	"I"
"00100100"	"m"	"Juv"	"I"
"01100100"	"m"	"Juv"	"I"
"00101000"	"m"	"Juv"	"I"
"01000100"	"m"	"Juv"	"I"
"01011011"	"m"	"Juv"	"I"
"01001100"	"m"	"Juv"	"I"
"01010000"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01111100"	"m"	"Juv"	"S"
"01010000"	"m"	"Juv"	"I"
"01001001"	"m"	"Juv"	"I"
"01000010"	"m"	"Juv"	"I"
"01000100"	"m"	"Juv"	"I"
"00111111"	"m"	"Juv"	"I"
"00100000"	"m"	"Juv"	"I"
"00111000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"S"
"01000000"	"m"	"Juv"	"I"
"01100100"	"m"	"Juv"	"I"
"00110000"	"m"	"Juv"	"I"
"00100000"	"m"	"Juv"	"I"
"01101000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01110000"	"m"	"Juv"	"S"
"01000000"	"m"	"Juv"	"I"
"01001000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01000000"	"m"	"Juv"	"I"
"01100000"	"m"	"Juv"	"I"
